Id,Credit Score,Income,Employment Status,Debt-to-Income Ratio,Loan Amount,Loan Purpose,Marital Status,Number of Dependents,Residence Status,Previous Loan History,Bank Account Balance,Education Level,Existing Loan Balance,Maximum Loan Limit,Loan Approval Status
0,715,28514,Employed,0.138,32842,Home Purchase,Married,4,Renter,Paid in Full,4328,High School,0.0,12742,1
1,376,0,Unemployed,0.161,15113,Personal Expenses,Married,1,Living with Parents,Defaulted,7957,Bachelor,5504.28252134865,0,0
2,711,72875,Self-employed,0.1,28871,Car Purchase,Married,3,Owner,No Previous Loan,4483,High School,0.0,32383,1
3,584,33361,Employed,0.111,5439,Home Purchase,Married,1,Living with Parents,Defaulted,74785,Master or above,2904.297007744316,9272,0
4,583,104654,Employed,0.243,17312,Car Purchase,Single,2,Living with Parents,No Previous Loan,2781,High School,0.0,38133,1
5,768,57903,Employed,0.213,7454,Home Purchase,Married,1,Renter,Paid in Full,11453,Bachelor,0.0,27793,1
6,789,62623,Employed,0.249,4426,Home Purchase,Single,2,Renter,No Previous Loan,18506,High School,0.0,30880,1
7,755,52203,Self-employed,0.221,6340,Education,Single,1,Owner,Paid in Full,2976,Bachelor,0.0,24633,1
8,560,88302,Employed,0.27,8702,Home Purchase,Married,2,Renter,Paid in Full,29498,Master or above,0.0,30905,1
9,682,88758,Self-employed,0.288,52078,Education,Single,0,Renter,No Previous Loan,4192,High School,0.0,37833,1
10,632,70942,Employed,0.1,8474,Car Purchase,Married,2,Renter,Paid in Full,3990,High School,0.0,28022,1
11,676,0,Unemployed,0.115,4205,Education,Single,1,Owner,No Previous Loan,20205,Bachelor,0.0,0,0
12,674,53963,Self-employed,0.177,17107,Car Purchase,Married,2,Renter,No Previous Loan,8575,High School,0.0,22731,0
13,648,78684,Employed,0.198,15444,Education,Divorced,1,Renter,Paid in Full,3292,High School,0.0,31867,1
14,682,50673,Employed,0.133,9170,Home Purchase,Married,3,Renter,Paid in Full,3662,Master or above,0.0,21599,1
15,585,60066,Employed,0.291,12766,Car Purchase,Single,0,Living with Parents,No Previous Loan,3239,High School,0.0,21961,1
16,699,52301,Employed,0.398,39816,Home Purchase,Single,1,Renter,Defaulted,4774,Master or above,31384.478803230064,0,0
17,686,47738,Employed,0.219,29334,Car Purchase,Divorced,1,Owner,No Previous Loan,5195,High School,0.0,20467,1
18,771,42512,Employed,0.208,26904,Car Purchase,Married,5,Owner,No Previous Loan,46817,Bachelor,0.0,20485,1
19,558,75806,Employed,0.285,4592,Education,Single,0,Owner,No Previous Loan,60755,Master or above,0.0,26437,1
20,738,115543,Employed,0.1,268969,Education,Married,1,Owner,No Previous Loan,7650,High School,0.0,53294,1
21,777,107758,Employed,0.203,42918,Car Purchase,Single,0,Renter,No Previous Loan,3364,Bachelor,0.0,52329,1
22,800,32010,Employed,0.298,25155,Home Purchase,Single,0,Renter,Paid in Full,55577,High School,0.0,16005,1
23,800,114313,Employed,0.136,4682,Education,Married,3,Owner,No Previous Loan,19843,High School,0.0,57156,1
24,741,51175,Employed,0.1,38697,Personal Expenses,Single,0,Owner,No Previous Loan,16655,High School,0.0,23700,1
25,668,81021,Self-employed,0.181,9087,Home Purchase,Single,2,Renter,Paid in Full,5138,High School,0.0,33826,0
26,701,38138,Employed,0.194,12351,Home Purchase,Married,2,Living with Parents,Paid in Full,9105,High School,0.0,16709,1
27,627,64414,Employed,0.109,2793,Home Purchase,Married,1,Living with Parents,Paid in Full,4371,Bachelor,0.0,25242,1
28,753,70190,Employed,0.4,4334,Car Purchase,Married,4,Owner,No Previous Loan,6563,High School,0.0,33033,1
29,698,28561,Employed,0.152,23256,Car Purchase,Single,2,Living with Parents,Paid in Full,64764,Bachelor,0.0,12459,1
30,554,81327,Employed,0.1,41029,Personal Expenses,Married,1,Renter,Defaulted,35456,Bachelor,21028.960966220766,7130,0
31,770,117602,Employed,0.191,29753,Car Purchase,Married,3,Renter,No Previous Loan,2331,High School,0.0,56595,1
32,611,54982,Employed,0.291,28756,Home Purchase,Married,2,Renter,Paid in Full,14353,High School,628.2768481730909,20367,0
33,667,0,Unemployed,0.202,14059,Personal Expenses,Single,0,Living with Parents,Paid in Full,4465,High School,0.0,0,0
34,601,0,Unemployed,0.249,9987,Home Purchase,Single,2,Renter,Defaulted,3430,Bachelor,3917.196763823137,0,0
35,694,91756,Self-employed,0.113,20024,Home Purchase,Married,1,Owner,No Previous Loan,7951,High School,0.0,39799,1
36,614,19787,Employed,0.349,34105,Home Purchase,Single,0,Renter,Defaulted,3109,High School,110104.12790420985,0,0
37,790,201086,Employed,0.256,15073,Home Purchase,Single,0,Renter,Paid in Full,25255,Master or above,1087.328421601109,98198,1
38,800,126731,Employed,0.305,50314,Personal Expenses,Single,1,Owner,Paid in Full,18661,Master or above,0.0,63365,1
39,580,52040,Employed,0.237,12097,Car Purchase,Single,1,Renter,No Previous Loan,4739,High School,0.0,18864,0
40,711,22382,Employed,0.282,5628,Personal Expenses,Single,1,Renter,Paid in Full,89433,Bachelor,0.0,9946,1
41,719,69294,Employed,0.113,14845,Personal Expenses,Married,2,Renter,No Previous Loan,32057,High School,0.0,31138,1
42,711,29147,Employed,0.151,16676,Home Purchase,Married,1,Living with Parents,Paid in Full,5227,Master or above,958.8720876799263,11993,1
43,719,0,Unemployed,0.335,13818,Education,Single,1,Living with Parents,Paid in Full,136907,High School,0.0,0,0
44,550,73709,Employed,0.356,53984,Education,Married,1,Renter,No Previous Loan,7722,Bachelor,0.0,25337,0
45,787,37473,Employed,0.1,33560,Personal Expenses,Married,1,Owner,No Previous Loan,2848,Bachelor,0.0,18432,1
46,708,105091,Employed,0.225,3586,Home Purchase,Single,0,Renter,No Previous Loan,3626,Bachelor,0.0,46502,1
47,682,89759,Employed,0.157,69575,Car Purchase,Married,7,Renter,Paid in Full,11169,High School,0.0,38259,1
48,800,97734,Employed,0.13,967,Personal Expenses,Single,1,Renter,Paid in Full,12836,Bachelor,0.0,48867,1
49,729,60266,Employed,0.228,128904,Home Purchase,Single,0,Renter,Paid in Full,9054,High School,2250.415065509092,25208,1
50,623,0,Unemployed,0.314,11254,Home Purchase,Married,1,Renter,Paid in Full,5320,Master or above,1820.2268071180795,0,0
51,484,97834,Self-employed,0.245,12409,Education,Married,1,Renter,Paid in Full,59086,Bachelor,681.7262050850019,28913,0
52,774,0,Unemployed,0.168,14126,Car Purchase,Single,1,Renter,Paid in Full,6803,High School,0.0,0,0
53,677,29947,Self-employed,0.251,22048,Car Purchase,Single,2,Owner,No Previous Loan,6948,High School,0.0,12671,0
54,741,117962,Employed,0.164,14996,Personal Expenses,Single,2,Renter,Paid in Full,1019,High School,0.0,54631,1
55,602,0,Unemployed,0.241,13126,Education,Divorced,1,Renter,Paid in Full,2786,Bachelor,0.0,0,0
